station,latitude,longitude,river,RPI,DO(Electrode),BOD5,SS,NH3-N,pH,temperature
Chuko Bridge,23.438861111111112,120.60591666666666,Bajhang River,1.50,8.0,<1.0,44.9,<0.01,8.53,25.9
Wuhuliao Bridge,23.451249999999998,120.55077777777778,Bajhang River,3.25,7.9,<1.0,143,0.01,8.48,26.9
Jyunhui Bridge,23.458916666666667,120.45805555555556,Bajhang River,3.25,7.9,<1.0,109,0.04,8.42,29.0
Bajhang River Bridge,23.403916666666664,120.38230555555555,Bajhang River,3.25,7.1,2.8,550,0.18,8.04,28.4
Hocin Bridge,23.328972222222223,120.25261111111111,Bajhang River,－,－,－,－,－,－,0
Chiananda Bridge,23.31277777777778,120.15277777777779,Bajhang River,5.00,4.9,5.1,1540,0.31,7.82,29.9
Jishueici Bridge,23.296115,120.32414,Jishuei River,3.75,4.8,2.6,173,0.21,7.80,30.6
Teisian Vi.,23.261160833333335,120.27284777777777,Jishuei River,5.50,5.1,5.7,291,0.77,7.60,30.4
Jhaigon Bridge,23.253527777777776,120.20355555555555,Jishuei River,5.00,4.1,3.3,309,0.40,7.68,30.3
Erngon Bridge,23.26604,120.19042694444445,Jishuei River,4.50,3.1,2.9,276,0.49,7.62,30.5
Nankunsan,23.291588055555557,120.14430305555557,Jishuei River,5.00,3.8,1.7,176,0.74,7.66,31.4
Chinyie Bridge,23.338693888888887,120.40718805555557,Jishuei River,6.25,3.0,4.7,476,1.16,7.64,30.0
Mugiliao,23.363008888888892,120.45423583333334,Jishuei River,－,－,－,－,－,－,0
Zengwun no.1 Bridge,23.192300833333334,120.48809305555555,Zengwun River,3.25,7.3,<1.0,135,<0.01,7.96,30.1
Yujing Bridge,23.117880972222224,120.45831305555556,Zengwun River,3.25,7.3,<1.0,712,0.13,8.21,28.6
Dzomalia Bridge,23.137581944444445,120.43045388888889,Zengwun River,3.25,7.2,<1.0,1320,0.18,8.10,30.7
Erncida Bridge,23.115661944444447,120.384388,Zengwun River,3.25,6.7,<1.0,532,0.11,8.14,30.9
Peishihchou Bridge,23.120303888888888,120.34538611111111,Zengwun River,3.25,7.0,<1.0,112,0.12,8.20,30.4
Zengwun River Bridge,23.155541944444444,120.33807388888889,Zengwun River,3.25,9.6,<1.0,159,0.19,7.93,30.7
Marsonda Bridge,23.171461111111114,120.26072888888889,Zengwun River,3.75,6.3,<1.0,424,0.10,8.09,30.6
Sigangda Bridge,23.10876888888889,120.20493611111111,Zengwun River,3.25,9.1,<1.0,620,0.14,7.92,30.9
Guoshen Bridge,23.085799972222222,120.13482,Zengwun River,3.25,7.6,<1.0,133,0.33,7.70,30.9
Zengwun River Mouth,23.044488055555558,120.06263,Zengwun River,3.75,6.1,<1.0,154,0.21,7.98,30.7
Yufonda Bridge,23.097060833333334,120.36989805555555,Zengwun River,3.25,6.7,<1.0,193,0.10,8.04,30.6
Tonsin Bridge,23.05921638888889,120.36320555555555,Yanshuei River,1.50,7.0,<1.0,27.3,0.09,8.12,31.5
Chenniao Bridge,23.0723,120.35825,Yanshuei River,2.00,6.4,<1.0,22.2,0.09,8.30,31.1
