station,latitude,longitude,river,RPI,DO(Electrode),BOD5,SS,NH3-N,pH,temperature,RPI_unit,DO(Electrode)_unit,BOD5_unit,SS_unit,NH3-N_unit,pH_unit,temperature_unit,,species1,species2,species3
Inbin Bridge,24.347773055555557,121.30815194444445,Dajia River,1.00,8.1,<1.0,<1.0,0.01,8.08,15.3,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Hynobius fucus,Hynobius formosanus
Changcing Bridge,24.17489,120.9746938888889,Dajia River,2.25,8.3,<1.0,79.2,0.02,7.71,22.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Rana sauteri,Hynobius formosanus
Longanda Bridge,24.171936111111112,120.83791805555556,Dajia River,1.00,8.2,<1.0,11.1,0.02,7.96,24.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Silurus asotus,Rana sauteri,Micryletta steinegeri
Dongfonda Bridge,24.26084611111111,120.82003194444444,Dajia River,1.50,8.2,<1.0,36.3,0.03,8.03,24.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Hynobius formosanus,Pelophylax fukienensis,Rana sauteri
Shihgang Dam,24.28375,120.77981472222224,Dajia River,1.50,8.3,1.5,32.2,0.04,8.05,25.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Hynobius formosanus,Hynobius sonani,Silurus asotus
Jinxing Bridge,24.275055555555557,120.77397222222224,Dajia River,1.00,7.8,1.5,18.0,0.06,7.90,28.1,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Rana longicrus,Hynobius formosanus
Houfonda Bridge,24.28268611111111,120.722805,Dajia River,1.50,8.3,<1.0,33.5,0.04,8.12,26.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Rana longicrus,Micryletta steinegeri
Hiway Bridge,24.283931000000003,120.69470694444443,Dajia River,1.50,8.0,1.5,30.7,0.05,7.76,27.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Pelophylax fukienensis,Silurus asotus
Dajia River Bridge,24.31547,120.604905,Dajia River,2.25,8.2,1.7,53.1,0.08,8.04,25.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana longicrus,Silurus asotus,Pelophylax fukienensis
Cingliu Bridge,24.063083055555555,120.95429111111112,Wu River,3.25,8.6,<1.0,2240,0.08,8.02,23.1,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Pelophylax fukienensis,Hynobius formosanus
Chenfon Bridge,24.027046944444443,120.82691194444445,Wu River,3.25,8.6,<1.0,2760,0.12,8.14,24.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Nidirana okinavana,Micryletta steinegeri
Wu River Bridge,24.008936944444443,120.69559694444445,Wu River,3.75,8.4,3.3,2700,0.11,8.20,26.3,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Silurus asotus,Rana sauteri
Fumazun,24.10438611111111,120.57532,Wu River,3.75,7.3,3.5,2200,0.27,7.70,28.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Silurus asotus,Micryletta steinegeri,Rana sauteri
Dadu Bridge,24.10593,120.58213694444444,Wu River,3.25,7.6,1.8,1820,0.12,7.93,28.1,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Silurus asotus,Micryletta steinegeri
Ailan Bridge,23.966919,120.94651111111112,Wu River,2.75,8.0,12.1,24.4,0.26,7.13,24.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Micryletta steinegeri,Silurus asotus
Beisan Bridge,23.983003888888888,120.87152888888888,Wu River,3.25,8.0,1.6,4040,0.13,8.12,25.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Pelophylax fukienensis,Zhangixalus taipeianus
Gandzulin Bridge,24.017999,120.84402,Wu River,3.25,8.4,1.3,3510,0.13,8.18,25.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Zhangixalus taipeianus,Nidirana okinavana
Jhongjheng Bridge,23.882531944444445,120.75777694444444,Wu River,1.50,8.0,4.4,8.7,0.05,8.48,28.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Micryletta steinegeri,Nidirana okinavana
Pinlin Bridge,23.952397972222226,120.6574538888889,Wu River,3.25,7.2,3.0,347,0.25,8.08,29.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,Micryletta steinegeri,Silurus asotus
Limin Bridge,24.01346805555556,120.6375688888889,Wu River,3.25,7.0,2.6,108,0.14,8.07,31.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Zhangixalus arvalis,Silurus asotus
Fongia Bridge,24.178476111111117,120.73777194444445,Wu River,1.00,8.2,1.5,5.6,0.08,8.45,28.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Micryletta steinegeri,Silurus asotus
Dali Bridge,24.093878055555557,120.68908611111112,Wu River,7.25,5.9,24.2,480,1.84,7.50,26.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,Rana sauteri,Micryletta steinegeri
Sinan Bridge,24.092068055555558,120.64337111111112,Wu River,5.50,6.0,12.4,375,0.69,7.56,28.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Zhangixalus arvalis,Rana sauteri
Chenho Bridge,24.169646944444445,120.705355,Wu River,1.00,8.7,2.4,7.0,0.16,8.46,27.3,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Silurus asotus,Micryletta steinegeri
Shuwan Bridge,24.110045000000003,120.66566305555556,Wu River,5.50,6.4,13.5,176,0.98,7.50,26.3,,mg/L,mg/L,mg/L,mg/L,,℃,,Silurus asotus,Rana sauteri,Micryletta steinegeri
Guogwon Bridge,24.117481,120.67955694444444,Wu River,4.00,5.4,14.1,19.0,1.57,7.37,27.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Micryletta steinegeri,Silurus asotus
Donghi Bridge,24.177101944444445,120.62793611111113,Wu River,4.00,7.4,8.4,80.4,0.95,7.40,27.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Micryletta steinegeri,Silurus asotus
Gichen Bridge,24.106336111111112,120.61499388888888,Wu River,3.25,6.3,13.7,36.1,0.47,7.53,28.5,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Micryletta steinegeri,Silurus asotus
Yufonda Bridge,23.808405,120.84348,Jhuoshuei River,4.50,8.5,10.7,7360,0.15,8.28,23.7,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Nidirana okinavana,Micryletta steinegeri
Ji Lu Bridge,23.81507861111111,120.78286111111112,Jhuoshuei River,3.25,8.4,1.6,6050,0.14,8.24,24.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Rana sauteri,Nidirana okinavana
Minchiuda Bridge,23.817803972222222,120.70584611111111,Jhuoshuei River,3.25,9.0,1.6,6500,0.13,8.38,25.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,Micryletta steinegeri,Rana sauteri
Xizhou Bridge,23.80975,120.46947222222222,Jhuoshuei River,5.50,8.0,18.9,4660,0.14,8.31,27.5,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,Micryletta steinegeri,Rana sauteri
Nanyunda Bridge,23.759175,120.65697111111112,Jhuoshuei River,3.25,7.9,1.4,142,0.10,8.43,27.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Nidirana okinavana,Micryletta steinegeri
Rueitsau Bridge,23.626689722222224,120.65615277777778,Jhuoshuei River,4.50,8.4,5.2,154,0.05,8.47,25.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Nidirana okinavana,Zhangixalus arvalis,Micryletta steinegeri
Tungyou River Dike,23.64583333333333,120.658625,Jhuoshuei River,3.25,8.2,1.4,131,0.07,8.48,26.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Rana sauteri,Zhangixalus arvalis
Cihtong no. 1 Bridge,23.751467,120.50817583333334,Sin Huwei River,3.75,7.4,<1.0,2940,0.87,8.17,26.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,Micryletta steinegeri,Rana sauteri
Sinhuwei River Bridge,23.750846972222224,120.49701805555556,Sin Huwei River,3.75,7.2,<1.0,4130,0.84,8.10,26.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,Rana sauteri,Micryletta steinegeri
Jhongjheng Bridge,23.74351305555556,120.42238194444444,Sin Huwei River,5.00,6.5,3.4,444,2.16,7.95,28.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Rana sauteri,Zhangixalus arvalis
Fon Bridge,23.74204611111111,120.34734888888887,Sin Huwei River,5.00,4.8,2.8,344,1.77,7.66,29.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Zhangixalus arvalis,Micryletta steinegeri
Hifon Bridge,23.74039888888889,120.24572388888888,Sin Huwei River,5.50,5.2,4.1,376,1.86,7.71,30.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,,
Wengang Bridge,23.761916666666668,120.22386111111112,Sin Huwei River,9.00,0.8,13.4,248,14.0,7.74,30.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,,
Beigangda Bridge,23.56255888888889,120.3014899722222,Beigang River,7.00,4.2,7.7,469,2.04,7.65,29.3,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,,
Yunchiada Bridge,23.513793888888888,120.17793388888887,Beigang River,8.00,3.3,43.5,222,2.05,7.69,29.2,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Meinan Bridge,23.700586972222226,120.59999805555556,Beigang River,3.25,7.8,1.8,190,0.11,8.34,28.3,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,Zhangixalus taipeianus,Micryletta steinegeri
Shihliuban Bridge,23.718603,120.57327,Beigang River,3.25,7.6,<1.0,591,0.10,8.04,28.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Micryletta steinegeri,Nidirana okinavana
Rong Bridge,23.731215,120.523435,Beigang River,3.25,7.4,1.1,1760,0.50,8.04,27.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Rana sauteri,Zhangixalus arvalis
Tokooda Bridge,23.681451111111112,120.41863497222222,Beigang River,6.25,6.1,8.3,905,2.20,7.80,27.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,Rana sauteri,Micryletta steinegeri
Heping Bridge,23.608475,120.39851111111112,Beigang River,6.25,5.7,7.9,186,1.45,7.59,29.3,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Zhangixalus arvalis,Micryletta steinegeri
Songchiuda Bridge,23.52693111111111,120.55621305555556,Puzih River,1.00,8.3,<1.0,9.9,<0.01,8.48,27.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,Rana sauteri,Micryletta steinegeri
Jhucida Bridge,23.524958055555555,120.54628888888888,Puzih River,1.00,8.9,<1.0,7.4,<0.01,8.46,29.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Zhangixalus arvalis,Micryletta steinegeri
Second Super highway Sidewalk bridge,23.50690888888889,120.48953694444444,Puzih River,2.25,7.9,1.1,69.2,0.01,8.42,29.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Zhangixalus arvalis,Rana sauteri
Neochoci Bridge,23.51376388888889,120.44340305555556,Puzih River,3.25,6.8,1.8,113,0.22,7.98,29.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Zhangixalus arvalis,Rana sauteri
Yuemeitan Bridge,23.51409111111111,120.3604161111111,Puzih River,4.50,5.9,3.9,53.8,1.12,7.80,30.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,Micryletta steinegeri,Rana sauteri
Jieshou Bridge,23.48206,120.29326,Puzih River,4.50,4.8,3.9,51.8,1.17,8.08,30.7,,mg/L,mg/L,mg/L,mg/L,,℃,,Hylarana taipehensis,Zhangixalus arvalis,
Puzih River Bridge,23.47560611111111,120.24506083333334,Puzih River,5.25,3.9,3.8,86.7,1.07,7.81,31.1,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,Hylarana taipehensis,
Dongshihda Bridge,23.459245,120.1774288888889,Puzih River,5.00,6.8,4.3,209,1.08,7.69,30.3,,mg/L,mg/L,mg/L,mg/L,,℃,,Hylarana taipehensis,,
Dungshrnan Bridge,23.443694444444446,120.16886111111111,Puzih River,5.50,4.0,4.9,819,0.73,7.78,31.1,,mg/L,mg/L,mg/L,mg/L,,℃,,Hylarana taipehensis,Micryletta steinegeri,
Chuko Bridge,23.438861111111112,120.60591666666666,Bajhang River,1.50,8.0,<1.0,44.9,<0.01,8.53,25.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Micryletta steinegeri,Zhangixalus arvalis
Wuhuliao Bridge,23.45125,120.55077777777778,Bajhang River,3.25,7.9,<1.0,143,0.01,8.48,26.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Rana sauteri,Zhangixalus arvalis
Jyunhui Bridge,23.458916666666667,120.45805555555556,Bajhang River,3.25,7.9,<1.0,109,0.04,8.42,29.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,Micryletta steinegeri,Rana sauteri
Bajhang River Bridge,23.403916666666664,120.38230555555556,Bajhang River,3.25,7.1,2.8,550,0.18,8.04,28.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,Pelophylax fukienensis,Rana sauteri
Hocin Bridge,23.328972222222223,120.25261111111112,Bajhang River,－,－,－,－,－,－,0.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Hylarana taipehensis,Pelophylax fukienensis,Micryletta steinegeri
Chiananda Bridge,23.31277777777778,120.1527777777778,Bajhang River,5.00,4.9,5.1,1540,0.31,7.82,29.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Hylarana taipehensis,Pelophylax fukienensis
Jishueici Bridge,23.296115,120.32414,Jishuei River,3.75,4.8,2.6,173,0.21,7.80,30.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Hylarana taipehensis,Pelophylax fukienensis,
Teisian Vi.,23.26116083333333,120.27284777777776,Jishuei River,5.50,5.1,5.7,291,0.77,7.60,30.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Hylarana taipehensis,Zhangixalus arvalis
Jhaigon Bridge,23.253527777777776,120.20355555555555,Jishuei River,5.00,4.1,3.3,309,0.40,7.68,30.3,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Pelophylax fukienensis,Hylarana taipehensis
Erngon Bridge,23.26604,120.19042694444444,Jishuei River,4.50,3.1,2.9,276,0.49,7.62,30.5,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Zhangixalus arvalis,Hylarana taipehensis
Nankunsan,23.29158805555556,120.14430305555555,Jishuei River,5.00,3.8,1.7,176,0.74,7.66,31.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Hylarana taipehensis,Micryletta steinegeri
Chinyie Bridge,23.338693888888887,120.40718805555557,Jishuei River,6.25,3.0,4.7,476,1.16,7.64,30.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Hylarana taipehensis,Pelophylax fukienensis,Zhangixalus arvalis
Mugiliao,23.36300888888889,120.45423583333334,Jishuei River,－,－,－,－,－,－,0.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,Rana sauteri,Micryletta steinegeri
Zengwun no.1 Bridge,23.19230083333333,120.48809305555557,Zengwun River,3.25,7.3,<1.0,135,<0.01,7.96,30.1,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Micryletta steinegeri,Rana sauteri
Yujing Bridge,23.117880972222224,120.45831305555556,Zengwun River,3.25,7.3,<1.0,712,0.13,8.21,28.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Micryletta steinegeri,Zhangixalus arvalis
Dzomalia Bridge,23.137581944444445,120.43045388888888,Zengwun River,3.25,7.2,<1.0,1320,0.18,8.10,30.7,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Rana sauteri,Zhangixalus arvalis
Erncida Bridge,23.115661944444447,120.384388,Zengwun River,3.25,6.7,<1.0,532,0.11,8.14,30.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Micryletta steinegeri,Hylarana taipehensis
Peishihchou Bridge,23.120303888888888,120.34538611111113,Zengwun River,3.25,7.0,<1.0,112,0.12,8.20,30.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,Hylarana taipehensis,Pelophylax fukienensis
Zengwun River Bridge,23.155541944444444,120.33807388888889,Zengwun River,3.25,9.6,<1.0,159,0.19,7.93,30.7,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Pelophylax fukienensis,Hylarana taipehensis
Marsonda Bridge,23.171461111111118,120.26072888888888,Zengwun River,3.75,6.3,<1.0,424,0.10,8.09,30.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Zhangixalus arvalis,Hylarana taipehensis
Sigangda Bridge,23.10876888888889,120.20493611111112,Zengwun River,3.25,9.1,<1.0,620,0.14,7.92,30.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Micryletta steinegeri,Hylarana taipehensis
Guoshen Bridge,23.085799972222222,120.13482,Zengwun River,3.25,7.6,<1.0,133,0.33,7.70,30.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Zhangixalus arvalis,
Zengwun River Mouth,23.04448805555556,120.06263,Zengwun River,3.75,6.1,<1.0,154,0.21,7.98,30.7,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Yufonda Bridge,23.09706083333333,120.36989805555557,Zengwun River,3.25,6.7,<1.0,193,0.10,8.04,30.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Hylarana taipehensis,Zhangixalus arvalis,Rana sauteri
Tonsin Bridge,23.05921638888889,120.36320555555557,Yanshuei River,1.50,7.0,<1.0,27.3,0.09,8.12,31.5,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,Pelophylax fukienensis,Hylarana taipehensis
Chenniao Bridge,23.0723,120.35825,Yanshuei River,2.00,6.4,<1.0,22.2,0.09,8.30,31.1,,mg/L,mg/L,mg/L,mg/L,,℃,,Hylarana taipehensis,Pelophylax fukienensis,Zhangixalus arvalis
Fonhua Bridge,23.05908388888889,120.27777694444444,Yanshuei River,4.75,3.4,2.0,52.4,2.50,7.89,32.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Hylarana taipehensis,Zhangixalus arvalis
Yungan Bridge,23.05138888888889,120.2395,Yanshuei River,4.25,5.2,2.0,27.3,3.26,7.54,30.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Pelophylax fukienensis,Hylarana taipehensis
Taiping Bridge,23.02499111111111,120.21554611111112,Yanshuei River,5.00,2.2,1.9,24.9,4.77,7.40,31.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Hylarana taipehensis,Zhangixalus arvalis
Yanshuei River Bridge,23.019773055555557,120.19246805555557,Yanshuei River,6.00,1.4,2.4,25.1,3.14,7.43,30.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Hylarana taipehensis,Zhangixalus arvalis,Pelophylax fukienensis
Erntsun Bridge,22.916728000000003,120.46046194444445,Erren River,3.25,7.1,2.1,1970,0.42,7.98,27.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Zhangixalus arvalis,
Gootin Bridge,22.888018055555555,120.396335,Erren River,5.00,5.5,3.0,6020,1.06,8.16,27.7,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Zhangixalus arvalis,
Chongdeda Bridge,22.875676944444447,120.36184694444444,Erren River,4.75,4.8,3.3,18200,0.56,7.94,27.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Zhangixalus arvalis,
Nansyong Bridge,22.889388888888888,120.33819444444444,Erren River,4.25,4.8,2.9,10400,0.53,7.88,27.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,Micryletta steinegeri,
Shihan Bridge,22.900694444444444,120.31019444444443,Erren River,5.00,3.9,3.0,8320,0.63,7.81,28.7,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,Micryletta steinegeri,
Erntsuncin Bridge,22.9155,120.22608333333334,Erren River,5.75,3.4,2.3,2380,1.45,7.73,28.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Hylarana taipehensis,Zhangixalus arvalis,Pelophylax fukienensis
Nandin Bridge,22.918726,120.184586,Erren River,7.00,4.3,7.0,17100,2.10,7.62,29.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Micryletta steinegeri,Hylarana taipehensis
Chenguo Village,22.998721111111116,120.25059997222222,Erren River,3.25,5.7,2.9,26.2,2.54,7.70,30.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Pelophylax fukienensis,Micryletta steinegeri,Zhangixalus arvalis
Wukon Bridge,22.927526111111117,120.22161305555557,Erren River,5.75,3.0,2.0,101,1.40,7.40,29.8,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,Hylarana taipehensis,Micryletta steinegeri
Yunnin Bridge,22.92519194444445,120.19435694444444,Erren River,－,－,－,－,－,－,0.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Hylarana taipehensis,Micryletta steinegeri,Pelophylax fukienensis
Agongdian River,22.80325,120.36121,Agongdian River,2.25,8.8,1.8,51.4,0.01,8.51,32.7,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Zhangixalus arvalis,
High Speed Rail Bridge,22.80388888888889,120.32822,Agongdian River,4.00,2.7,1.2,40.3,1.18,7.59,33.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,Micryletta steinegeri,
Agongdian Bridge,22.785304972222225,120.29710305555555,Agongdian River,3.75,5.6,3.2,29.8,2.22,7.70,32.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Zhangixalus arvalis,
Cianchou Bridge,22.80293805555556,120.27987083333332,Agongdian River,7.25,1.0,9.3,23.8,7.47,7.68,32.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,,
Geogon Bridge,22.800741972222223,120.23212694444445,Agongdian River,5.50,2.8,4.4,22.0,5.21,7.71,32.1,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,,
Ligangda Bridge,22.79447888888889,120.50339111111111,Gaoping River,3.25,7.7,<1.0,1640,0.03,8.24,25.7,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Linko Bridge,22.77067111111111,120.45271,Gaoping River,3.25,7.9,<1.0,3620,0.03,8.14,25.6,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus arvalis,Micryletta steinegeri,
Gaopingda Bridge,22.64712611111111,120.43741111111112,Gaoping River,3.25,7.9,1.1,2560,0.37,8.15,25.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,,
Wandada Bridge,22.593358888888886,120.439785,Gaoping River,3.25,7.5,<1.0,1550,0.07,8.14,25.9,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Shuangyuanda Bridge,22.49502777777778,120.41844444444445,Gaoping River,－,－,－,－,－,－,0.0,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Sinfada Bridge,23.04855888888889,120.66916,Gaoping River,3.25,8.0,<1.0,956,0.01,8.22,23.2,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Liougueida Bridge,22.99547111111111,120.63828,Gaoping River,3.25,8.0,<1.0,938,0.03,8.27,23.8,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Jiouru Bridge,22.724753055555556,120.48875611111112,Gaoping River,6.25,5.7,9.6,63.7,9.04,7.61,27.7,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Dagean Bridge,22.880076111111112,120.64812305555556,Gaoping River,3.25,7.8,<1.0,1390,0.03,8.24,24.5,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Beinoon Brideg,22.63027805555556,120.45802888888888,Gaoping River,3.50,3.9,2.8,7.9,2.86,7.35,29.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,,
Jiasian Intake,23.083111111111112,120.58455555555555,Gaoping River,3.25,8.4,<1.0,709,0.02,8.41,24.2,,mg/L,mg/L,mg/L,mg/L,,℃,,Rana sauteri,Micryletta steinegeri,
Yuemei Bridge,22.961101944444444,120.5217161111111,Gaoping River,3.25,8.3,1.0,1490,0.03,8.42,25.4,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,Rana sauteri,
Sinciwei Bridge,22.87400805555556,120.487895,Gaoping River,3.25,7.8,<1.0,4520,0.08,8.32,26.3,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Simenda Bridge,22.898643888888888,120.535864,Gaoping River,2.25,6.9,<1.0,87.4,0.13,7.90,28.1,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Cinan Bridge,22.868449972222223,120.49660805555555,Gaoping River,2.25,7.2,<1.0,83.4,0.16,7.67,27.8,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Chengde Bridge,22.613611111111112,120.58869444444444,Donggang River,2.00,5.9,1.1,35.6,0.31,7.49,26.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus aurantiventris,Cyprinus carpio,
Longdon Bridge,22.602935,120.58295194444445,Donggang River,2.00,6.3,<1.0,45.7,0.24,7.47,26.9,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus aurantiventris,Cyprinus carpio,
Chaojhouda Bridge,22.56475,120.53966666666666,Donggang River,2.00,5.6,<1.0,29.8,0.43,7.59,28.0,,mg/L,mg/L,mg/L,mg/L,,℃,,Zhangixalus aurantiventris,Cyprinus carpio,
Cinsheda Bridge,22.54219888888889,120.50416388888888,Donggang River,4.00,5.2,3.0,62.1,2.05,7.68,29.2,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Gangci Pomping Station,22.50452305555556,120.46200694444444,Donggang River,3.25,5.3,2.1,34.2,2.73,7.66,29.4,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Donggangda Bridge,22.47771694444444,120.459635,Donggang River,3.75,5.8,3.2,22.6,2.79,7.84,30.0,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Sinbeida Bridge,22.461196944444445,120.55042,Linbian River,3.25,8.2,<1.0,1570,0.04,8.32,27.2,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Linbianda Bridge,22.430816944444445,120.52326611111113,Linbian River,3.25,7.9,<1.0,3800,0.04,8.24,27.6,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Fangliuda Bridge,22.34329888888889,120.61175194444444,Shuaimang River,3.25,8.0,<1.0,436,<0.01,8.39,27.8,,mg/L,mg/L,mg/L,mg/L,,℃,,,,
Fangshan Bridge,22.25609888888889,120.65406694444444,Fangshan River,2.25,7.8,<1.0,87.1,<0.01,8.32,27.1,,mg/L,mg/L,mg/L,mg/L,,℃,,Micryletta steinegeri,,
